"ID","Question","Answer"
"1","How do I schedule a new appointment?","You can schedule an appointment through our patient portal by navigating to the 'Appointments' tab and selecting 'New Appointment.' Alternatively, you can call our scheduling desk at the number listed on your insurance card or the clinic's main page."
"2","Can I schedule an appointment online?","Yes, appointments can be scheduled 24/7 through the patient portal. Visit 'Appointments' > 'Schedule,' choose your provider, select a date and time, and confirm."
"3","What should I do if I need to cancel my appointment?","Please cancel at least 24 hours before your scheduled time. You can do this online via the portal or by calling the clinic directly. Cancellations within 24 hours may be subject to a late cancellation fee."
"4","How do I reschedule an existing appointment?","Log into the patient portal, go to 'Appointments,' find your upcoming visit, and select 'Reschedule.' Alternatively, call the office to speak with our scheduling team about new available times."
"5","What if all available appointment times are booked?","Our scheduling system posts cancellations throughout the day. Call us directly or check back early in the morning when recently canceled slots may have opened up."
"6","Can I book a same-day appointment?","Same-day appointments are available for urgent issues depending on provider availability. Call the office as early as possible to ask about openings for that day."
"7","How long before my appointment should I arrive?","Please arrive 15 minutes early to complete any necessary check-in paperwork and update your insurance or contact information in person."
"8","Can someone else pick up my prescription after an appointment?","Yes, but we will need written authorization from you naming the person picking up the prescription for safety reasons. A phone request is not sufficient due to privacy requirements."
"9","Do I get a confirmation after scheduling online?","Yes, you'll receive an email confirmation and a text reminder 24 hours before your appointment. You can also view all confirmed appointments in your portal dashboard."
"10","What if I need a specialist referral?","If you require a specialist, ask during your appointment. Many plans require a referral from your primary care provider. The staff can assist with obtaining the necessary referral documentation."
"11","Can I request a specific provider for my appointment?","You may request any available provider through the portal or by phone. If your preferred provider is unavailable, we will find you another qualified provider at a convenient time."
"12","What is your office hours policy on weekends?","Our main clinic is open Monday through Friday. Some locations offer Saturday hours on a rotating schedule. Visit our 'Locations' page or call ahead to confirm availability for your area."
"13","Can I video chat with my doctor instead of visiting in person?","Telehealth visits are available for eligible conditions and follow-up appointments. Look for the 'Virtual Visit' option under Appointments in the portal. You will need a reliable internet connection and a device with a camera."
"14","What happens if I am running late to my appointment?","If you expect to be more than 15 minutes late, please call the office immediately. We may still see you, but your visit length or availability may be limited depending on the provider's schedule."
"15","Do I need a referral for a specialist?","Many insurance plans require a referral from your primary care physician before you can see a specialist. Check with your insurance provider to confirm your plan's requirements."
"16","How do I switch to a new primary care provider?","Log into the patient portal and go to 'My Providers' to request a change. Alternatively, call the front desk and let us know which provider you would like as your new PCP."
"17","Can I bring my children to an appointment?","We encourage you to arrange childcare if possible. If you must bring a child, please let our staff know in advance so we can accommodate seating and keep other patients comfortable."
"18","What insurance plans do you accept?","We accept most major insurance plans including Blue Cross Blue Shield, Aetna, UnitedHealthcare, Cigna, Medicare, and Medicaid. Please verify your specific plan on our 'Accepted Insurance' page or by calling us directly."
"19","How do I find out if my procedure is covered?","Contact your insurance provider using the number on the back of your card and ask about coverage for the specific CPT code of your procedure. You can also request a benefits verification from our office on your behalf."
"20","Do you offer self-pay options for uninsured patients?","Yes, we provide discounted self-pay rates for patients without insurance. Ask at check-in or contact our billing department to discuss available pricing and financial assistance programs."
