"ID","Question","Answer"
"1","How do I update my billing information?","Log into your account dashboard, navigate to Settings > Billing, and click 'Update Payment Method.' You can add a new credit card or link a PayPal account."
"2","What payment methods do you accept?","We accept all major credit cards (Visa, Mastercard, American Express), PayPal, and bank transfers for annual plans. Enterprise customers can also pay via invoice with NET-30 terms."
"3","Can I switch between monthly and annual billing?","Yes, you can switch at any time from your Billing settings. If switching to annual, the unused portion of your monthly subscription will be prorated as a credit. Annual plans save you approximately 20%."
"4","How do I get an invoice for my subscription?","Invoices are automatically emailed after each successful payment. You can also download past invoices anytime under Billing > Invoice History in your dashboard."
"5","What happens if my payment fails?","If a payment fails, you'll receive email notifications with instructions to update your payment details. Your service continues uninterrupted for 7 days after the first failed attempt. After that, access is paused until payment is resolved."
"6","How do I cancel my subscription?","Go to Settings > Subscription and click 'Cancel Plan.' You'll retain access until the end of your current billing period. No further charges will be applied after cancellation."
"7","Is there a free trial available?","Yes, we offer a 14-day free trial on all plans with no credit card required. You get full access to all features during the trial period."
"8","What happens to my data after I cancel?","Your data is retained for 30 days after cancellation in case you decide to reactivate. After that, it's permanently deleted from our servers. You can export your data anytime before then."
"9","Can I get a refund if I'm not satisfied?","We offer a 30-day money-back guarantee on all plans. Contact support with your order number, and we'll process the refund — no questions asked."
"10","How do I upgrade or downgrade my plan?","Navigate to Settings > Subscription and select your desired plan. Upgrades take effect immediately with prorated charges. Downgrades apply at the next billing cycle so you don't lose access mid-period."
"11","What are the differences between your plans?","Our Starter plan includes up to 5 users and core features. Professional adds advanced analytics and priority support. Enterprise offers unlimited users, custom integrations, SSO, and a dedicated account manager. Visit our Pricing page for a full breakdown."
"12","Do you offer discounts for nonprofits or education?","Yes, we provide a 30% discount for verified nonprofits and educational institutions. Apply through our Special Programs page with your organization's documentation."
"13","Can I add more users to my current plan?","Absolutely. Go to Settings > Team & Users and invite additional members. Depending on your plan, there may be a per-user surcharge or you'll need to move to the next tier."
"14","Is there a limit to how many team members I can have?","That depends on your plan: Starter supports up to 5 users, Professional up to 25, and Enterprise has no user cap. We also offer custom licensing for very large teams."
"15","How do I reset my password?","Click 'Forgot Password' on the login page and enter your email address. You'll receive a secure link to set a new password within minutes. If you don't see it, check your spam folder."
"16","Can I change my account email address?","Yes, go to Settings > Account Details and update your email. You'll need to verify the new address through a confirmation email we'll send shortly after changing it."
"17","How do I enable two-factor authentication (2FA)?","Navigate to Settings > Security and select 'Enable Two-Factor Authentication.' You can use an authenticator app like Google Authenticator or Authy for added protection."
"18","I forgot my 2FA backup codes. What should I do?","If you've lost your backup codes, go to Settings > Security > Reset 2FA and verify your identity through email. This will generate a new set of backup codes — store them somewhere safe."
"19","Can someone on my team access my account without permission?","No. Only users you explicitly invite and grant access to can log in. You control permissions at the team level and can monitor all login activity under Settings > Security Audit Log."
"20","How do I delete my account completely?","Go to Settings > Account Details and click 'Delete Account.' This permanently removes your data from our systems after a 30-day grace period. Contact support if you'd like this processed immediately."
"21","What features are included in the free trial?","The trial gives you full access to all Professional plan features — unlimited projects, advanced reporting, API access, and priority email support — for 14 days with no restrictions."
"22","Does your platform integrate with other tools?","Yes. We offer native integrations with Slack, Salesforce, HubSpot, Zapier, Google Workspace, Microsoft 365, and over 100 other popular tools. You can find all integrations under Settings > Integrations."
"23","Can I use your API to build custom connections?","Absolutely. Our REST API is fully documented and available on Professional and Enterprise plans. Key endpoints include users, data export, webhooks, and real-time streaming."
"24","Do you offer white-label or custom branding options?","Yes, Enterprise customers can enable white-label mode to remove our branding and display their own logo, colors, and domain. Custom domains are available on Professional plans and above."
"25","Is there a mobile app available?","Yes. We have iOS and Android apps that mirror most desktop functionality including dashboards, reporting, and team collaboration. Download it from the App Store or Google Play."
"26","Do you offer SSO (Single Sign-On)?","SSO is available on Enterprise plans via SAML 2.0, supporting providers like Okta, Azure AD, OneLogin, and PingIdentity. Contact our support team to get set up."
"27","How do I export my data?","Go to Settings > Data Management and click 'Export.' You can choose CSV, JSON, or PDF formats. Large exports may take a few minutes, and we'll email you when it's ready."
"28","Can I import data from another platform?","Yes. We provide templates and an import wizard under Settings > Data Management. For complex migrations, Enterprise customers can request assisted onboarding from our team."
"29","What happens if I exceed my plan limits?","If you hit a limit, the affected feature will notify you and prompt an upgrade. In most cases, you'll get a 7-day grace period to decide before any interruption occurs."
"30","Do you have usage limits on API calls?","Yes. Professional plans include 10,000 API calls per day, while Enterprise has unlimited calls. You can monitor your current usage under Settings > Developer Console."
"31","Is my data secure on your platform?","Security is our top priority. We use AES-256 encryption at rest, TLS 1.3 in transit, and are SOC 2 Type II certified. All data centers meet ISO 27001 standards."
"32","Do you comply with GDPR and CCPA?","Yes. We're fully GDPR and CCPA compliant. You can manage your data privacy preferences and request data deletion from Settings > Privacy Center at any time."
"33","How do I set up custom roles and permissions?","Go to Settings > Team & Users > Roles. You can create custom role profiles with specific access levels for each feature area, then assign team members to those roles."
"34","Can multiple people edit the same project simultaneously?","Yes, real-time collaboration is built into all plans. Changes appear instantly for all collaborators, and you can see who's editing in the top-right corner of any workspace."
"35","Is there a version history or audit trail?","Yes. Every change is logged with a timestamp, user, and details. You can view the full history under Project Settings > Audit Log and even restore previous versions if needed."
"36","Do you offer dedicated customer support?","Professional plans include priority email support (under 4-hour response during business hours). Enterprise customers receive a dedicated account manager and 24/7 phone support."
"37","What are your support hours?","Standard email support is available Monday through Friday, 9 AM to 6 PM ET. Enterprise customers have access to 24/7 live support via phone, chat, and email."
"38","Can I schedule a demo before committing?","Of course. Click the 'Book a Demo' button on our website to pick a time with one of our product specialists. It takes about 20 minutes and is completely obligation-free."
"39","Do you offer training for new users?","Yes. Every plan includes access to our video tutorials and knowledge base. Professional users also get a live onboarding webinar, and Enterprise customers receive custom training sessions for their team."
"40","How do I set up automated reports?","Navigate to Reports > Schedule. You can customize report templates, choose delivery format (email, Slack, or webhook), and set frequency — daily, weekly, monthly, or on a custom cron schedule."
"41","Can I create custom dashboards for my team?","Yes. Go to Dashboards > Create New and drag in the widgets you want. You can save multiple dashboard layouts, share them with specific team members, and set them as default views."
"42","Do you offer webhook notifications?","Absolutely. Webhooks are available on Professional and Enterprise plans. Configure them under Settings > Integrations > Webhooks to receive real-time event triggers for key actions in your account."
"43","What's your uptime guarantee?","We maintain a 99.9% uptime SLA across all plans. If we fall short, eligible customers can request service credits as outlined in our SLA document."
"44","How do I report a bug or request a feature?","Use the in-app Feedback button at the bottom-right of any page. You can also email support@yourcompany.com. Enterprise customers can submit requests directly through their account manager."
"45","Can I invite external clients or vendors to collaborate?","Yes, you can add 'Guest' users who have limited access to specific projects without a full seat license. Manage guest invitations under Settings > Team & Users."
