"ID","Question","Answer"
"1","What types of checking accounts do you offer?","We offer Standard Checking with no monthly fee for direct deposit, Plus Checking with budgeting tools and Premium Checking with higher interest rates and waived minimums."
"2","Do I need to maintain a minimum balance for my savings account?","There's no minimum opening deposit, but keeping at least $100 avoids a $5 monthly maintenance fee. Balances above $1,500 earn our standard APY of 4.01 percent."
"3","What is the difference between a money market account and a savings account?","Money market accounts typically require higher minimum balances but often come with check-writing privileges and debit cards. Both are insured by the FDIC up to legal limits."
"4","How do certificates of deposit work?","When you open a CD, you agree to lock in your money for a set term—anywhere from three months to five years—in exchange for a fixed interest rate that won't change during the term."
"5","Can I open an account with bad credit?","Yes, our Standard Checking and basic Savings accounts don't require a credit check. We may use ChexSystems to review recent banking history, but most customers can still open an account within 30 days of any closure issues."
"6","What are the fees associated with a business checking account?","Our Small Business Basic has no monthly fee if you maintain $1,500 in average daily balance. Without that minimum, there's a $12 monthly charge. Premium plans add free wire transfers and payroll services for $25 per month."
"7","How much does it cost to open a business savings account?","There are no opening or maintenance fees on our Business Savings account. It requires a minimum of $25 to activate."
"8","What is an overdraft fee and how does it work?","An overdraft fee of $34 is charged each time your card or automatic debit transaction goes through despite insufficient funds in your account. You can opt out of overdraft coverage entirely, which means declined transactions won't incur a fee."
"9","How much is the monthly maintenance fee on a standard checking account?","The fee is $12 per month. However, you can avoid it by maintaining a minimum daily balance of $500 or setting up direct deposit of at least $250 each pay period."
"10","Are there fees for using out-of-network ATMs?","Yes, any ATM not in our network charges a $3 surcharge. Your own bank may also add its own fee on top of that, typically between $1 and $5."
"11","How much does a domestic wire transfer cost?","Outgoing domestic wires are $25 for standard processing or $30 for same-day delivery. Incoming wires are free for all account holders."
"12","What is the fee for a cashier's check?","Our own bank charges $8 per cashier's check. Third-party checks where we verify your identity but the payee draws on another institution may cost up to $15."
"13","Is there a fee to transfer money between my own accounts at different banks?","Transferring between two of our own accounts is always free, whether via online banking or in-person. Transfers to external banks through Zelle are also free for personal accounts."
"14","What does a stop payment fee cover and how much is it?","A stop payment costs $30 per request. It prevents a specific check or recurring debit from clearing your account. Stop payments expire after 60 days if you need to renew them."
"15","Are foreign transaction fees charged on bank debit cards?","Most of our premium cards charge no foreign transaction fee. Our basic Visa and Mastercard do add a three percent surcharge on purchases made outside the United States or with international merchants."
"16","What is the monthly fee on an interest-bearing checking account?","There is no monthly fee for our Interest-Bearing Checking account, but it requires a minimum opening deposit of $100 to activate the account and begin earning dividends."
"17","Can I get a high-yield savings account at your bank?","Yes, our Online High-Yield Savings account pays 4.25 percent APY with no monthly fees, no minimum balance requirement, and full FDIC coverage up to $250,000 per depositor."
"18","What happens if I deposit a check that exceeds my account limit?","Excess deposits are usually held for one business day for local checks and five business days for nonlocal checks. You can access the deposited funds once they clear without any penalty."
"19","Is there a fee to receive direct deposit of my paycheck?","No, direct deposits are always free regardless of which bank issued your paycheck. Most customers also get their pay up to two days earlier through our Early Pay feature."
"20","How much does it cost to replace a lost or stolen debit card?","There is no fee for reporting and replacing either a lost or stolen card. You'll receive a temporary digital card in your mobile app within minutes while your physical replacement ships via standard mail at no charge."
"21","What should I do if my card shows suspicious activity?","Call the number on the back of your card immediately or use our fraud hotline at 800-555-0199. We'll freeze the card right away and investigate the unauthorized charges within one to three business days."
"22","How long does it take to get a new card after reporting it stolen?","Your physical replacement card arrives in seven to ten business days by standard mail. You can also activate our virtual card feature instantly through mobile banking if you need to make online purchases right away."
"23","Why was my transaction declined even though I have sufficient funds?","Declines can result from suspected fraud activity, reaching your daily spending or withdrawal limit, an expired card, or a hold placed by a merchant for estimated amounts like hotel or gas station deposits."
"24","Can I set a daily spending limit on my debit card?","Yes, through online banking or our mobile app you can adjust your daily ATM withdrawal limit between $100 and $5,000 and your daily point-of-sale purchase limit between $500 and $25,000."
"25","What is Zelle and does it cost money to use?","Zelle is our peer-to-peer payment service that lets you send and receive money instantly using just a recipient's email or phone number. There are no fees for sending personal payments between verified users."
"26","How do I dispute a charge on my credit card statement?","You can file a dispute online in under two minutes by navigating to the Disputes section in your account dashboard, calling customer service at 800-555-0199, or visiting any branch with the relevant receipt and documentation."
"27","What is the time limit for filing a chargeback on a credit card?","You generally have 60 days from the statement date that lists the disputed charge to file a formal claim. For unauthorized purchases or significant billing errors, the federal Truth in Lending Act allows up to 60 days from the statement issuance."
"28","What happens if someone uses my credit card without permission?","Unauthorized charges are your responsibility up to $50 as long as you report the loss before making any fraudulent purchases. If you call our fraud line immediately, most banks provide zero-liability protection with no maximum cap on covered amounts."
"29","Is there a fee to set up autopay for my credit card bill?","No, automatic payments through online banking cost nothing. In fact, some customers receive a quarter percent interest rate reduction by enrolling in autopay for the life of the account."
"30","What is a wire transfer and when should I use one?","A wire transfer moves funds directly from your bank to another financial institution in real time using routing numbers. It's typically used for large transactions like house purchases or paying off substantial debts quickly."
"31","How long does an international wire transfer take?","International wires usually clear within one to two business days depending on the destination country and intermediary banks involved. Cut-off times vary by branch but are generally around 4 p.m. local time on weekdays."
"32","What fees apply when I withdraw cash from a foreign ATM abroad?","Your bank does not charge any additional fee beyond our standard $3 out-of-network surcharge if applicable. However, the foreign ATM operator may impose its own fee ranging from two to five dollars or equivalent in local currency."
"33","Can I close my account online or do I need to visit a branch?","Yes, you can initiate closure through mobile banking or online accounts under Settings and close it instantly if your balance is above zero. If you have a negative balance you'll need to resolve that first before the account closes completely."
"34","What happens to my scheduled payments if I close my account?","We'll attempt any pending transactions for 30 days after closure and decline all future ones. You should manually cancel any subscriptions or autopay services linked to the closing account before it shuts down entirely."
"35","Do you offer student checking accounts?","Yes, our Student Checking account is available to individuals aged 13 through 24 with a parent or guardian as a joint owner for those under 18. It includes no monthly fees and unlimited ATM rebates nationwide."
"36","What is a senior checking account and who qualifies?","Senior Checking requires the primary account holder to be at least 65 years old. Benefits include waived overdraft fees up to two times per month, free cashier's checks, and priority phone support during extended hours on weekdays."
"37","Is my money insured if I keep it in a savings or checking account?","All deposit accounts are covered by FDIC insurance up to $250,000 per depositor, per institution, for each account ownership category. Business accounts hold the same coverage limits based on total funds deposited."
"38","What does joint account ownership mean for liability and fees?","Both owners have equal access and responsibility for any overdraft fees that occur. Joint accounts are insured up to $250,000 combined across all owners rather than double that amount unless structured differently."
"39","Can I get a payroll card instead of a traditional account?","Yes, our Employer Payroll Card loads your wages automatically each payday onto a reloadable Visa debit card with no monthly fees and free direct deposit tracking. ATM withdrawals carry a small fee after the first three per month."
"40","How much does it cost to open a money market account?","There is no opening deposit requirement for our standard Money Market Savings account. Premium versions that offer higher dividend rates require an initial minimum of $10,000."
"41","What are monthly maintenance fees and when do they apply?","Monthly maintenance fees are service charges assessed when your account balance falls below the required threshold or when certain account conditions aren't met throughout the billing cycle. Avoiding them through direct deposit is the simplest path."
"42","Can I get a refund on an overdraft fee if it's my first time?","Our First-Time Overdraft Relief program allows one free waiver per calendar year for customers who haven't had prior fees this year. Contact customer service within 30 days of the charge to request removal during that window."
"43","What is an early direct deposit feature and does it cost extra?","Early Direct Deposit lets you access up to two days before your employer actually submits payroll by routing funds through our network faster. There's no additional fee for this perk as long as you have a Standard Checking or better tier."
"44","Is there a limit to how many transfers I can make from savings per month?","Federal Regulation D limits certain transfers and withdrawals from savings accounts to six per month. Exceeding that limit triggers a $10 excess transaction fee for each unauthorized withdrawal beyond the sixth one."
"45","How do I freeze my account temporarily instead of closing it permanently?","You can activate an instant account freeze through mobile banking or by calling our 24-hour line. This halts all outgoing transfers and payments while keeping your account open so you can continue receiving deposits during any security review period."
"46","What interest rates apply to accounts with low balances?","Balances under $100 in Savings earn zero percent. Balances above $100 begin earning the standard APY of 4.01 percent immediately without tiered or graduated rate structures for most individual account holders in good standing."
"47","Can I get a virtual card number for online shopping only?","Yes, our Digital Card feature generates unlimited single-use or reusable virtual card numbers directly through your mobile app that are linked to your primary account but expire after each use or specified date."
"48","What happens when my debit card expires and needs renewal?","We mail you an updated card with a new expiration date roughly 30 days before it lapses while keeping the same primary account number intact. If the old card hasn't been cancelled upon arrival of the replacement activate the new one in your app immediately."
"49","Do business accounts get different overdraft terms than personal accounts?","Yes, Business Premium Checking includes up to four free overdraft protections per quarter before standard fees begin and offers automatic line-of credit linking as a backup at lower rates than regular overdraft charges."
"50","How can I reduce or avoid fees on my bank account overall?","You can eliminate most common fees by maintaining your required minimum balance, setting up qualifying direct deposit each month, consolidating all banking with our institution for loyalty discounts, and using in-network ATMs exclusively to avoid surcharges entirely."
