"ID","Question","Answer"
"1","How do I place a food delivery order?","Open the app or website, select your restaurant and desired items, add them to your cart, and proceed to checkout. Choose your delivery address, payment method, and confirm your order."
"2","What payment methods are accepted for food delivery orders?","Most platforms accept major credit/debit cards (Visa, Mastercard, Amex), digital wallets like Apple Pay or Google Pay, and sometimes cash on delivery depending on the region. Check the specific app for all options."
"3","How can I track my food delivery order in real time?","Once your order is confirmed, go to the 'Orders' or 'Track Order' section in the app. You'll typically see progress stages: order received, preparing, picked up, and on the way to you."
"4","Why hasn't my driver arrived yet? My estimated delivery time has passed.","Delivery times can vary due to traffic, weather, or restaurant prep delays. Check the live map in the app for your driver's location. If it's significantly past the estimate, contact support for an update."
"5","The food arrived cold. What should I do?","First, check if there's a 'Report an Issue' button on the order details page — many apps let you request a partial or full refund directly. If not, take a photo of the food and contact support within 24 hours."
"6","My order is missing items. How do I get a refund for the missing products?","Go to the order in your app, select 'Report an Issue' or 'Missing Items,' and specify what's gone. Submit any photos you have, and most platforms will credit your account within 1–3 business days."
"7","Can I modify my order after I've already placed it?","You can sometimes modify orders before they reach the restaurant by calling them directly. Once the restaurant starts preparing your food, changes are usually no longer possible. Contact support as quickly as you can for any exceptions."
"8","The delivery driver couldn't find my location. What should I do?","If you're waiting, send precise instructions or a photo of nearby landmarks through the app's chat feature. If they've left and you didn't receive your food, report the order as 'Not Delivered' for a full refund."
"9","Is there a fee for food delivery? How much is it?","Delivery fees vary by restaurant, distance, and platform. There may also be a service fee and small order fees. These are all itemized at checkout before you confirm your payment."
"10","Can I cancel my food delivery order? When is the latest I can do it?","You can usually cancel within 2–5 minutes of placing the order for a full refund. After that, once the restaurant starts preparing, you may only get a partial refund or none at all. Check your order page for cancellation options."
"11","Why was my payment charged twice for the same order?","This is often a temporary double authorization from your bank and usually resolves within 24–48 hours. If both charges persist, take screenshots and contact both your payment provider and the delivery platform's support."
"12","How do I apply a promo code or coupon to my order?","At checkout, look for a 'Promo Code,' 'Coupon,' or 'Discount' field. Enter your code and tap 'Apply.' The discount will show in your order total before you confirm payment."
"13","My food arrived damaged or spilled. How do I get compensated?","Take clear photos of the packaging and the mess immediately. Use the app's reporting tool to submit a complaint with those images. You should receive a refund or credit for the affected items within a few days."
"14","Can I reschedule my delivery for a later time?","Rescheduling isn't typically available after an order is placed. If you need food at a different time, consider canceling the current order (if still eligible) and placing a new one with your preferred delivery window."
"15","Are contactless deliveries an option?","Yes, most platforms offer contactless delivery. Select it at checkout or during the driver matching phase. The driver will leave the food at your door and notify you via the app."
"16","Why is my delivery taking so long? What's a normal wait time?","Wait times depend on restaurant prep, distance, and current order volume. A typical wait is 25–45 minutes for most meals. If it exceeds your app's estimated window by more than 15 minutes, that warrants a support inquiry."
"17","Can I split my payment between two different cards?","Generally, no — most platforms only allow one payment method per order. However, some newer apps are starting to support partial payments with gift cards combined with a credit card. Check your platform's help center for specifics."
"18","My order was delivered to the wrong address. What should I do?","Contact customer support immediately. If the food is still intact and nearby, they may direct the driver or send a replacement. You'll typically receive a full refund if the food cannot be recovered."
"19","How do I add a tip for my delivery driver?","You can add a tip during checkout before confirming, or after delivery by going to your order history, selecting the relevant order, and tapping 'Add Tip.' Most platforms let you adjust or increase the tip later as well."
"20","What should I do if the food I received is not what I ordered?","Take photos of the items you did receive. Use the app's reporting tool to flag 'Wrong Order' with those photos. You'll usually be refunded for the incorrect items or offered a credit toward your next order."
"21","Do I need to be home when my food is delivered?","For standard delivery, yes — you'll need to accept the handoff. For contactless delivery, no; the driver leaves it at the specified spot and alerts you through the app. Make sure your delivery instructions are clear either way."
"22","How do I request a refund for my order?","Go to your order history, select the relevant order, tap 'Help' or 'Report an Issue,' choose the problem category, and follow the prompts. Most refunds process back to your original payment method within 3–5 business days."
"23","What happens if it rains during my delivery?","The driver will still deliver as scheduled, but timing may be delayed. Most platforms factor weather into their estimates and won't penalize you for reasonable weather-related delays. Be patient with your driver's safety."
