"ID","Question","Answer"
"1","What is a real estate listing?","A real estate listing is a detailed description of a property that is available for sale or rent on the platform. It includes photos, pricing, location, key features, and agent contact information."
"2","How do I search for properties?","Use the search bar at the top of the page to filter by location, price range, property type, number of bedrooms, and other criteria that match your preferences."
"3","Can I save properties I'm interested in?","Yes. Click the heart or save icon on any listing to add it to your favorites. You can access your saved properties anytime from your account dashboard."
"4","How are agent contacts handled?","When you click the contact button on a listing, you can send an inquiry directly through the platform. The agent will receive your request and respond within 24-48 hours."
"5","What is the process for scheduling a property viewing?","Click the schedule tour button on any listing, choose your preferred date and time, fill in your contact details, and confirm. You'll receive a confirmation email with all the details."
"6","How are agent commissions structured?","Agent fees typically range from 2% to 6% of the final sale price, split between the buyer's and seller's agents. The exact percentage is negotiable and should be discussed upfront."
"7","Are there any platform fees for buyers?","No, buyers do not pay any fees to use our platform. All costs related to purchases are disclosed in the listing details or through your agent."
"8","How do I contact an agent directly?","Click on the agent's name or profile photo in any listing to view their bio and credentials. From there, you can send a message or request a call back."
"9","What information should I include when contacting an agent?","Include your budget range, preferred locations, must-have features, timeline for moving, and any specific questions about the property or buying process."
"10","How do I verify if an agent is licensed and experienced?","Every agent on our platform has a verified profile showing their license number, years of experience, number of completed transactions, and client reviews. You can check these details on their profile page."
"11","What is a listing price?","The listing price is the amount the seller initially asks for the property. It may be negotiable depending on market conditions and the property's time on the market."
"12","Can I negotiate the listing price?","Yes, most listings are open to negotiation. Your agent can help determine a fair offer based on comparable sales and current market trends."
"13","What is a Zestimate or automated valuation?","Our platform provides an estimated property value using algorithms that analyze recent sales, property features, and local market data. It's a starting point, not a formal appraisal."
"14","How accurate are the property photos?","All listings include professionally taken photos by our partners. We encourage you to request a live video walkthrough or in-person visit for the most accurate representation."
"15","What details are included in a property listing?","Each listing includes the address, price, square footage, lot size, number of bedrooms and bathrooms, year built, parking details, key features, school district information, and tax history."
"16","Why does a property show as 'pending'?","A pending status means the seller has accepted an offer but the sale hasn't closed yet. These properties may still come back on the market if the deal falls through."
"17","What does 'contingent' mean in a listing?","Contingent means the seller has accepted an offer, but certain conditions (like financing or inspection) must be met before the sale is finalized."
"18","How do I find homes near a specific school district?","Use the filter options during your search and select your desired school district. The platform will show only properties located within that zone."
"19","Can I get alerts for new listings?","Yes. Set up custom saved searches with your criteria, and you'll receive email or push notifications whenever a matching property becomes available."
"20","How do I report an incorrect listing detail?","Click the flag icon on any listing to report inaccuracies. Our review team will investigate and correct the information within one business day."
"21","What is earnest money?","Earnest money is a deposit you make when submitting an offer to show good faith. It typically ranges from 1% to 3% of the purchase price and is applied toward your down payment or closing costs."
"22","Who pays for a home inspection?","Typically, the buyer hires and pays for a professional home inspector. The cost usually ranges from $300 to $500 depending on the property size and location."
