"ID","Question","Answer"
"1","What are your available internet plan options?","We offer three tiers: Starter at 100 Mbps for $40/mo, Standard at 300 Mbps for $60/mo, and Pro at 1 Gbps for $90/mo. All plans include unlimited data with no throttling."
"2","How do I check my current billing cycle?","Your billing cycle runs from the 15th of each month to the 14th of the following month. You can view your next billing date by logging into My Account or calling customer service at 1-800-555-TELE."
"3","I received an unexpected charge on my bill. What should I do?","Review your latest statement for any add-on services like premium channels or device protection plans that may have been activated. If the charge doesn't match anything you authorized, call us within 30 days to dispute it — we can often credit it back."
"4","What happens if I miss a payment deadline?","A late fee of $15 is applied 5 days after your due date. If your account remains unpaid for 60 days, service may be suspended and eventually disconnected. We always recommend setting up autopay to avoid this entirely."
"5","Can I change my internet speed mid-cycle?","Yes — upgrades take effect immediately with a prorated charge. Downgrades take effect at the start of your next billing cycle so you don't lose already paid-for service days."
"6","Why does my bill show an activation fee I didn't expect?","A one-time $75 installation or activation fee applies to new accounts and modem upgrades. It should appear only on the first two bills of a new setup. If you see it later, reach out and we can refund it."
"7","My service is completely down. What's the fastest way to report it?","The quickest method is the My Account app, where you can tap 'Report Outage' and get real-time status updates. Alternatively, call 1-800-555-TELE or visit our outage map online at any time."
"8","How do I know if an outage is widespread or just my equipment?","Check our live outage map online or the app. If your address is listed there, it's a known regional issue. If not, try rebooting your modem/router by unplugging it for 30 seconds before plugging it back in."
"9","What's included in the roaming add-on for my mobile plan?","The $15/mo roaming add-on covers texting and data while in Canada and Mexico with no overage charges. Calls to international numbers still incur per-minute rates unless you also purchase a global calling package."
"10","Can I get a refund for unused days after moving out of service area?","Yes — if we cannot provide service at your new address, you may receive a prorated credit for the remaining days in your current billing cycle. This is processed automatically within 5 business days."
"11","How do autopay discounts work?","Enrolling in autopay saves you $5/mo on any internet plan and $3/mo on any mobile line. The discount applies automatically as long as at least one payment processes successfully each month without manual intervention."
"12","Why did my speed test results vary so much this week?","Wi-Fi signal strength, connected device count, and peak usage hours (6-9 PM) commonly affect results. Try testing via an Ethernet-connected computer directly to the modem during off-hours for the most accurate reading."
"13","What payment methods do you accept online?","We accept all major credit cards, debit cards, PayPal, and direct bank drafts. Mail payments are also accepted via check or money order. Auto-pay is processed only with Visa, MasterCard, Discover, and Amex."
"14","Can I upgrade my modem without buying a new one?","If your current modem doesn't support DOCSIS 3.1 speeds for plans over 300 Mbps, you'll need an upgraded unit. We loan modems to customers at no extra cost if they stay on autopay and don't default."
"15","What's the difference between a suspended and disconnected account?","Suspension means you can still log in and manage your account but services are blocked until payment clears. Disconnection is a final step after 60+ days of nonpayment — it requires a reactivation fee of $50 to restore service."
"16","How do I set up parental controls on my home internet?","Log into your router admin panel at 192.168.1.1 using the password on the device sticker. Navigate to 'Parental Controls' where you can schedule access times, filter websites, and pause internet for specific devices."
